Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Graph
CPUcoin,$0.037326586558,0.0%,-0.8%,-2.3%,"$37,115.43",?,https://www.coingecko.com/coins/9544/sparkline
Belifex,$0.000051450979,0.0%,-0.0%,-0.3%,"$5,711.95",?,https://www.coingecko.com/coins/9547/sparkline
LivenPay,$0.000697172551,?,?,?,?,?,https://www.coingecko.com/coins/9554/sparkline
PUBLISH,$0.010707119111,-0.4%,0.0%,12.6%,"$13,499.25",?,https://www.coingecko.com/coins/9572/sparkline
SOV,$0.002010856149,?,?,?,?,?,https://www.coingecko.com/coins/9575/sparkline
Renrenbit,$0.000000000501,?,?,?,?,?,https://www.coingecko.com/coins/9578/sparkline
Castweet,$0.028910814110,0.1%,-0.1%,,$42.52,?,https://www.coingecko.com/coins/9602/sparkline
KONJUNGATE,$0.000033154979,,0.6%,-0.8%,$0.663100,?,https://www.coingecko.com/coins/9604/sparkline
Porte,$0.001497722895,?,?,?,?,?,https://www.coingecko.com/coins/9612/sparkline
SorachanCoin,$0.005348014841,?,?,?,?,?,https://www.coingecko.com/coins/9613/sparkline
TokenTuber,$0.000602516045,?,?,?,?,?,https://www.coingecko.com/coins/9617/sparkline
Ally,$0.000447283033,0.4%,1.1%,-4.0%,"$9,078.06",?,https://www.coingecko.com/coins/9619/sparkline
Ndau,$14.49,0.2%,-3.3%,-5.8%,"$53,639.30",?,https://www.coingecko.com/coins/9620/sparkline
Tepleton,$0.000069205311,?,?,?,?,?,https://www.coingecko.com/coins/9622/sparkline
Sugarchain,$0.000328798877,?,?,?,?,?,https://www.coingecko.com/coins/9637/sparkline
Pantos,$0.061613322428,-0.3%,-1.7%,6.2%,$703.98,?,https://www.coingecko.com/coins/9639/sparkline
Safe SeaFood Coin,$0.000826928052,0.0%,-49.0%,-55.0%,$6.76,?,https://www.coingecko.com/coins/9640/sparkline
Eska,$0.000822919178,0.1%,24.7%,4.8%,$49.95,?,https://www.coingecko.com/coins/9642/sparkline
NexDAX,$0.006779993262,-2.4%,14.0%,-15.5%,"$17,986.42",?,https://www.coingecko.com/coins/9648/sparkline
Bincentive,$0.007677846883,0.4%,0.8%,-0.2%,"$8,087.64",?,https://www.coingecko.com/coins/9661/sparkline
VNDC,$0.000027227235,-27.9%,-28.0%,-28.4%,"$8,516.27",?,https://www.coingecko.com/coins/9670/sparkline
PlayerVsPlayerCoin,$0.000047177533,?,?,?,?,?,https://www.coingecko.com/coins/9682/sparkline
Mogu,$0.001499356439,?,?,?,?,?,https://www.coingecko.com/coins/9687/sparkline
300FIT,$0.000624157657,0.0%,0.7%,-9.4%,"$36,541.17",?,https://www.coingecko.com/coins/9690/sparkline
StarPlay,$0.000000028125,,0.0%,0.0%,$0.000000000000,?,https://www.coingecko.com/coins/9705/sparkline
MesChain,$0.000082022759,0.0%,-1.1%,-4.6%,"$23,600.09",?,https://www.coingecko.com/coins/9719/sparkline
ZUM,$0.000008496561,,0.7%,13.4%,$73.59,?,https://www.coingecko.com/coins/9721/sparkline
GSTCOIN,$0.022604409309,-0.0%,1.8%,-3.4%,"$91,434.17",?,https://www.coingecko.com/coins/9732/sparkline
EYES Protocol,$0.002463456898,,0.2%,-23.1%,$19.58,?,https://www.coingecko.com/coins/9734/sparkline
DEXA COIN,$0.000022892251,2.2%,3.0%,7.5%,"$55,646.25",?,https://www.coingecko.com/coins/9737/sparkline
VERA Exchange,$0.000010712479,,8.0%,,$0.000957724192,?,https://www.coingecko.com/coins/9766/sparkline
Beyondcoin,$0.000563900163,?,?,?,?,?,https://www.coingecko.com/coins/9773/sparkline
Hashshare,$0.000245070484,?,?,?,?,?,https://www.coingecko.com/coins/9774/sparkline
Orbit Chain,$0.090898513215,-0.1%,-0.9%,-0.4%,"$138,871",?,https://www.coingecko.com/coins/9782/sparkline
Nahmii,$0.000296238698,0.7%,-3.6%,-16.2%,"$23,524.80",?,https://www.coingecko.com/coins/9786/sparkline
OmotenashiCoin,$0.000109637683,1.4%,0.5%,-1.2%,"$1,220.65",?,https://www.coingecko.com/coins/9787/sparkline
Maxonrow,$0.001201522951,0.0%,-0.1%,-0.0%,"$2,725.99",?,https://www.coingecko.com/coins/9792/sparkline
Bodhi Network,$0.005977797008,?,?,?,?,?,https://www.coingecko.com/coins/9815/sparkline
FANBI TOKEN,$0.000028132876,?,?,?,?,?,https://www.coingecko.com/coins/9828/sparkline
DAD,$0.022790278138,0.3%,0.6%,-0.9%,"$389,211",?,https://www.coingecko.com/coins/9833/sparkline
Digital Rand,$0.058741403250,0.4%,1.8%,-0.2%,"$336,158",?,https://www.coingecko.com/coins/9841/sparkline
CounosX,$18.97,-0.2%,-0.1%,-0.2%,"$11,506,808",?,https://www.coingecko.com/coins/9843/sparkline
SOLBIT,$0.000301204396,?,?,?,?,?,https://www.coingecko.com/coins/9844/sparkline
Super8,$0.000003940504,?,?,?,?,?,https://www.coingecko.com/coins/9850/sparkline
EIDOS,$0.000012507242,?,?,?,?,?,https://www.coingecko.com/coins/9857/sparkline
Hymnode,$0.009603902598,1.9%,3.9%,-7.3%,"$255,850",?,https://www.coingecko.com/coins/9871/sparkline
GlobalChainZ,$0.016392868228,0.1%,0.3%,-0.9%,"$4,019,123",?,https://www.coingecko.com/coins/9876/sparkline
Boolean,$0.000459432609,7.4%,-19.6%,-21.2%,$11.81,?,https://www.coingecko.com/coins/9888/sparkline
Rebit,$0.001602384235,?,?,?,?,?,https://www.coingecko.com/coins/9891/sparkline
Lucent,$0.000016667558,?,?,?,?,?,https://www.coingecko.com/coins/9911/sparkline
LUCY,$0.001467377686,?,?,?,?,?,https://www.coingecko.com/coins/9921/sparkline
NextDAO,$0.000181917470,0.4%,2.7%,2.7%,"$10,032.01",?,https://www.coingecko.com/coins/9929/sparkline
VNX Exchange,$0.018748689688,?,?,?,?,?,https://www.coingecko.com/coins/9945/sparkline
Navibration,$0.000037863364,?,?,?,?,?,https://www.coingecko.com/coins/9952/sparkline
JD Coin,$0.031980351434,-2.2%,1.6%,-3.4%,$431.67,?,https://www.coingecko.com/coins/9958/sparkline
CoinDeal Token,$0.001329961027,?,?,?,?,?,https://www.coingecko.com/coins/9960/sparkline
MEDIUM,$0.033205949859,0.0%,-0.0%,-51.9%,$73.24,?,https://www.coingecko.com/coins/9961/sparkline
Documentchain,$0.003974024333,0.2%,1.8%,2.5%,$2.45,?,https://www.coingecko.com/coins/9976/sparkline
BitcoinToken,$0.000562733542,0.1%,0.2%,,$1.56,?,https://www.coingecko.com/coins/9983/sparkline
MimbleWimbleCoin,$0.830190,-9.1%,-9.9%,-17.4%,$510.16,?,https://www.coingecko.com/coins/9989/sparkline
Nosturis,$0.000000041293,0.0%,13.9%,22.3%,$0.000103563767,?,https://www.coingecko.com/coins/9990/sparkline
3X Short Bitcoin Token,$0.000002100376,4.5%,9.4%,14.1%,"$6,482.34",?,https://www.coingecko.com/coins/9991/sparkline
3X Long Bitcoin Token,$4.85,-0.0%,-13.6%,0.8%,"$11,208.57",?,https://www.coingecko.com/coins/9992/sparkline
Grimm,$0.000165584842,0.2%,0.2%,0.1%,$43.00,?,https://www.coingecko.com/coins/10002/sparkline
CAPITAL X CELL,$0.000021856793,1.1%,-12.1%,7.0%,$691.74,?,https://www.coingecko.com/coins/10005/sparkline
GPS Ecosystem,$0.001338343756,?,?,?,?,?,https://www.coingecko.com/coins/10020/sparkline
Rocket Fund,$0.000383777459,?,?,?,?,?,https://www.coingecko.com/coins/10028/sparkline
Hidden Coin,$0.000020050499,?,?,?,?,?,https://www.coingecko.com/coins/10058/sparkline
Crypto Village Accelerator,$0.000000001893,?,?,?,?,?,https://www.coingecko.com/coins/10071/sparkline
SOMESING,$0.017526887279,-0.3%,-2.8%,9.8%,"$2,787,688",?,https://www.coingecko.com/coins/10089/sparkline
ROAD,$0.000612110317,0.0%,-2.5%,-6.5%,"$101,933",?,https://www.coingecko.com/coins/10099/sparkline
HEX,$0.027012198085,0.3%,0.5%,-13.0%,"$2,248,605",?,https://www.coingecko.com/coins/10103/sparkline
Quras,$0.002000744685,?,?,?,?,?,https://www.coingecko.com/coins/10112/sparkline
Global Digital Content,$0.000803856571,-0.6%,6.0%,-7.9%,"$42,236.80",?,https://www.coingecko.com/coins/10122/sparkline
Dragonbit,$0.000023181809,0.1%,-0.1%,7.4%,$0.148874,?,https://www.coingecko.com/coins/10123/sparkline
APIX,$0.002820508322,0.0%,0.8%,-3.1%,"$3,021.93",?,https://www.coingecko.com/coins/10124/sparkline
ETH3S,$0.000457925005,0.0%,0.0%,0.0%,$0.000000000000,?,https://www.coingecko.com/coins/10128/sparkline
UCX,$0.120360,,1.2%,2.0%,"$42,653.03",?,https://www.coingecko.com/coins/10131/sparkline
CCUniverse,$0.000005031466,?,?,?,?,?,https://www.coingecko.com/coins/10135/sparkline
Universal Protocol Token,$0.000332583037,?,?,?,?,?,https://www.coingecko.com/coins/10136/sparkline
3X Long Matic Token,$0.000192252596,?,?,?,?,?,https://www.coingecko.com/coins/10167/sparkline
3X Long TomoChain Token,$0.000000019621,?,?,?,?,?,https://www.coingecko.com/coins/10170/sparkline
3X Short Ethereum Token,$0.000000005781,-2.5%,-4.2%,-33.6%,"$7,817.02",?,https://www.coingecko.com/coins/10172/sparkline
3X Short Tezos Token,$0.000000305849,?,?,?,?,?,https://www.coingecko.com/coins/10175/sparkline
3X Long Cosmos Token,$0.000004246195,?,?,?,?,?,https://www.coingecko.com/coins/10181/sparkline
3X Short EOS Token,$0.000000866155,0.7%,0.4%,-1.5%,"$9,057.09",?,https://www.coingecko.com/coins/10186/sparkline
3X Long Dragon Index Token,$0.021403499593,?,?,?,?,?,https://www.coingecko.com/coins/10197/sparkline
3X Short Altcoin Index Token,$0.000012683143,?,?,?,?,?,https://www.coingecko.com/coins/10199/sparkline
3X Long Cardano Token,$0.022575539621,?,?,?,?,?,https://www.coingecko.com/coins/10203/sparkline
3X Short Shitcoin Index Token,$0.000002835708,?,?,?,?,?,https://www.coingecko.com/coins/10206/sparkline
3X Long Tether Token,"$14,187.35",?,?,?,?,?,https://www.coingecko.com/coins/10207/sparkline
3X Long Altcoin Index Token,$0.083312566046,?,?,?,?,?,https://www.coingecko.com/coins/10208/sparkline
3X Short XRP Token,$0.000000010415,-4.7%,-7.9%,-24.1%,$281.87,?,https://www.coingecko.com/coins/10210/sparkline
3X Long XRP Token,$0.000003213982,?,?,?,?,?,https://www.coingecko.com/coins/10211/sparkline
3X Long BNB Token,$5.58,?,?,?,?,?,https://www.coingecko.com/coins/10218/sparkline
1X Short Bitcoin Token,$71.10,?,?,?,?,?,https://www.coingecko.com/coins/10219/sparkline
1X Short Ethereum Token,$3.70,?,?,?,?,?,https://www.coingecko.com/coins/10220/sparkline
1X Short EOS Token,$164.15,?,?,?,?,?,https://www.coingecko.com/coins/10221/sparkline
3X Short Litecoin Token,$0.000005098090,?,?,?,?,?,https://www.coingecko.com/coins/10223/sparkline
3X Long Litecoin Token,$0.000003190970,?,?,?,?,?,https://www.coingecko.com/coins/10227/sparkline
3X Long Shitcoin Index Token,$0.021229557203,?,?,?,?,?,https://www.coingecko.com/coins/10228/sparkline
3X Long Midcap Index Token,$0.212296,?,?,?,?,?,https://www.coingecko.com/coins/10229/sparkline
1X Short Litecoin Token,$335.20,?,?,?,?,?,https://www.coingecko.com/coins/10230/sparkline
3X Long LEO Token,$143.52,?,?,?,?,?,https://www.coingecko.com/coins/10231/sparkline
3X Short Cardano Token,$0.000000000149,?,?,?,?,?,https://www.coingecko.com/coins/10232/sparkline
3X Short Chainlink Token,$0.000000000200,?,?,?,?,?,https://www.coingecko.com/coins/10233/sparkline
3X Short TRX Token,$0.000000001501,?,?,?,?,?,https://www.coingecko.com/coins/10234/sparkline
3X Long Chainlink Token,$0.000022550114,?,?,?,?,?,https://www.coingecko.com/coins/10235/sparkline
3X Long EOS Token,$0.000000100018,-0.0%,0.1%,-0.0%,"$1,110.38",?,https://www.coingecko.com/coins/10236/sparkline
3X Long Huobi Token Token,$0.094939290136,?,?,?,?,?,https://www.coingecko.com/coins/10239/sparkline
3X Long Tezos Token,$0.000005586153,?,?,?,?,?,https://www.coingecko.com/coins/10254/sparkline
3X Short Dragon Index Token,$0.000002103136,?,?,?,?,?,https://www.coingecko.com/coins/10256/sparkline
3X Long TRX Token,$0.001014364370,?,?,?,?,?,https://www.coingecko.com/coins/10266/sparkline
3X Long Bitcoin SV Token,$0.000000112726,?,?,?,?,?,https://www.coingecko.com/coins/10267/sparkline
3X Short Bitcoin Cash Token,$0.000011304078,?,?,?,?,?,https://www.coingecko.com/coins/10268/sparkline
Global Crypto Alliance,$0.000297221885,?,?,?,?,?,https://www.coingecko.com/coins/10276/sparkline
Bitcoin Free Cash,$0.062119857466,?,?,?,?,?,https://www.coingecko.com/coins/10278/sparkline
3X Long Dogecoin Token,$0.016878624000,?,?,?,?,?,https://www.coingecko.com/coins/10283/sparkline
BananaTok,$0.000450079420,0.0%,-0.0%,1.1%,$0.915912,?,https://www.coingecko.com/coins/10289/sparkline
THENODE,$0.004986889998,?,?,?,?,?,https://www.coingecko.com/coins/10292/sparkline
BCCXGenesis,$0.000986376741,?,?,?,?,?,https://www.coingecko.com/coins/10295/sparkline
Global Game Coin,$0.089483790091,-0.1%,-0.1%,-96.5%,"$7,285.80",?,https://www.coingecko.com/coins/10301/sparkline
Wallet Plus X,$0.000027081329,?,?,?,?,?,https://www.coingecko.com/coins/10302/sparkline
3X Long Bitcoin Cash Token,$0.000001986936,?,?,?,?,?,https://www.coingecko.com/coins/10306/sparkline
3X Short Tether Token,"$3,384.76",?,?,?,?,?,https://www.coingecko.com/coins/10307/sparkline
PHILLIPS PAY COIN,$0.000199712814,?,?,?,?,?,https://www.coingecko.com/coins/10311/sparkline
PlayFuel,$0.001012975580,4.9%,-2.9%,-7.8%,$973.16,?,https://www.coingecko.com/coins/10313/sparkline
Xenios,$0.122204,0.2%,0.2%,-44.1%,"$6,630.51",?,https://www.coingecko.com/coins/10322/sparkline
ORBYT Token,$0.000014924126,?,?,?,?,?,https://www.coingecko.com/coins/10325/sparkline
3X Long Ethereum Classic Token,$0.002132119413,?,?,?,?,?,https://www.coingecko.com/coins/10326/sparkline
3X Short LEO Token,$0.133627,?,?,?,?,?,https://www.coingecko.com/coins/10327/sparkline
3X Short Bitcoin SV Token,$0.000000540313,?,?,?,?,?,https://www.coingecko.com/coins/10329/sparkline
3X Short Midcap Index Token,$0.000206988183,?,?,?,?,?,https://www.coingecko.com/coins/10330/sparkline
3X Short Exchange Token Index Token,$0.000127116959,?,?,?,?,?,https://www.coingecko.com/coins/10331/sparkline
1X Short Bitcoin Cash Token,$382.64,?,?,?,?,?,https://www.coingecko.com/coins/10332/sparkline
MasterWin,$0.000462987220,?,?,?,?,?,https://www.coingecko.com/coins/10333/sparkline
Tachyon Protocol,$0.000933469912,-0.1%,23.4%,34.1%,"$1,579.69",?,https://www.coingecko.com/coins/10335/sparkline
ViteX Coin,$0.038070513383,-0.8%,0.8%,4.6%,"$5,654.88",?,https://www.coingecko.com/coins/10346/sparkline
CHEX Token,$0.016222385480,0.7%,1.1%,-4.6%,"$1,419.39",?,https://www.coingecko.com/coins/10349/sparkline
Cryptogcoin,$0.000032171165,?,?,?,?,?,https://www.coingecko.com/coins/10355/sparkline
Arrow,$0.000099350608,0.2%,-33.1%,110.1%,$5.23,?,https://www.coingecko.com/coins/10362/sparkline
Golden Ratio Coin,$0.060016317198,?,?,?,?,?,https://www.coingecko.com/coins/10363/sparkline
HebeBlock,$0.009021549906,-0.1%,1.2%,3.5%,"$1,246.81",?,https://www.coingecko.com/coins/10367/sparkline
Encocoinplus,$0.000190372482,?,?,?,?,?,https://www.coingecko.com/coins/10370/sparkline
Inoovi,$0.000000009299,0.1%,14.1%,-21.3%,$0.000145174432,?,https://www.coingecko.com/coins/10372/sparkline
GoMoney2,$0.004504008406,-1.0%,-1.7%,-2.5%,"$203,950",?,https://www.coingecko.com/coins/10374/sparkline
Pocket Node,$0.000003332458,?,?,?,?,?,https://www.coingecko.com/coins/10376/sparkline
Charity Alfa,$0.000011911815,?,?,?,?,?,https://www.coingecko.com/coins/10382/sparkline
HEPTAFRANC,$0.000049675304,0.2%,0.3%,0.6%,$0.000099748011,?,https://www.coingecko.com/coins/10388/sparkline
Universe Coin,$0.000049367489,?,?,?,?,?,https://www.coingecko.com/coins/10389/sparkline
DigiDinar Token,$0.000128622696,-75.7%,7.1%,-76.6%,$0.916408,?,https://www.coingecko.com/coins/10415/sparkline
Q8E20 Token,$8.00,0.0%,-0.0%,,$63.96,?,https://www.coingecko.com/coins/10427/sparkline
Orient Walt,$0.002220393530,1.0%,0.9%,-0.5%,$643.43,?,https://www.coingecko.com/coins/10428/sparkline
3X Short Huobi Token Token,$0.000174703258,?,?,?,?,?,https://www.coingecko.com/coins/10430/sparkline
3X Long OKB Token,$1.30,?,?,?,?,?,https://www.coingecko.com/coins/10431/sparkline
3X Short PAX Gold Token,"$12,650.00",?,?,?,?,?,https://www.coingecko.com/coins/10432/sparkline
3X Long PAX Gold Token,"$3,325.48",?,?,?,?,?,https://www.coingecko.com/coins/10435/sparkline
3X Long Exchange Token Index Token,$244.09,?,?,?,?,?,https://www.coingecko.com/coins/10436/sparkline
IFX24,$0.001355812572,?,?,?,?,?,https://www.coingecko.com/coins/10444/sparkline
3X Long BiLira Token,"$2,770.00",?,?,?,?,?,https://www.coingecko.com/coins/10449/sparkline
1X Short Shitcoin Index Token,$70.36,?,?,?,?,?,https://www.coingecko.com/coins/10450/sparkline
3X Short BiLira Token,"$3,006.06",?,?,?,?,?,https://www.coingecko.com/coins/10451/sparkline
Waves Enterprise,$0.028236072444,0.1%,-5.3%,-1.6%,"$112,595",?,https://www.coingecko.com/coins/10464/sparkline
EOS PoW Coin,$0.001718676109,-8.4%,0.3%,-4.9%,$6.66,?,https://www.coingecko.com/coins/10466/sparkline
DoDreamChain,$0.004778739461,-1.7%,-4.8%,-15.3%,"$4,167.24",?,https://www.coingecko.com/coins/10469/sparkline
Seeds,$0.004046465640,?,?,?,?,?,https://www.coingecko.com/coins/10488/sparkline
KOK,$0.097453744351,1.0%,-3.7%,-19.5%,"$872,420",?,https://www.coingecko.com/coins/10502/sparkline
Coalculus,$0.002831411948,0.0%,0.2%,3.0%,"$8,808.62",?,https://www.coingecko.com/coins/10520/sparkline
TRX3L,$3.57,0.7%,3.9%,7.1%,"$1,800,067",?,https://www.coingecko.com/coins/10560/sparkline
Bonorum,$0.193463,?,?,?,?,?,https://www.coingecko.com/coins/10563/sparkline
BIGOCOIN,$0.000000000000,0.0%,0.0%,0.0%,$0.000000000000,?,https://www.coingecko.com/coins/10564/sparkline
Codex,$0.000018214278,0.2%,0.3%,1.0%,$72.95,?,https://www.coingecko.com/coins/10568/sparkline
BSHA3,$0.007017976231,?,?,?,?,?,https://www.coingecko.com/coins/10572/sparkline
USD Bancor,$0.000000004827,0.0%,0.0%,0.0%,$0.000000000000,?,https://www.coingecko.com/coins/10619/sparkline
ASYAGRO,$0.074015891342,-0.1%,-0.1%,-12.3%,"$493,957",?,https://www.coingecko.com/coins/10632/sparkline
Metaverse DNA,$0.000047117418,-1.1%,38.6%,29.4%,"$219,775",?,https://www.coingecko.com/coins/10634/sparkline
ETHBNT Relay,$0.497445,?,?,?,?,?,https://www.coingecko.com/coins/10664/sparkline
POOLCOIN,$0.000011999575,?,?,?,?,?,https://www.coingecko.com/coins/10666/sparkline
Swamp Coin,$0.001157495314,0.0%,-29.9%,-1.1%,$0.564916,?,https://www.coingecko.com/coins/10671/sparkline
DreamsCoin,$0.000001149735,0.5%,1.0%,19.6%,$0.000019545494,?,https://www.coingecko.com/coins/10675/sparkline
Beer Money,$0.006002888061,-0.0%,-14.3%,5.8%,"$2,137.47",?,https://www.coingecko.com/coins/10682/sparkline
UBU,$0.019313407997,0.6%,1.7%,0.3%,$778.14,?,https://www.coingecko.com/coins/10686/sparkline
Freecash,$0.005013280843,0.0%,0.4%,0.5%,"$16,341.83",?,https://www.coingecko.com/coins/10692/sparkline
The Tokenized Bitcoin,"$16,435.04",0.1%,0.4%,4.5%,"$8,414.70",?,https://www.coingecko.com/coins/10702/sparkline
Infinity Esaham,$0.008001418126,0.0%,-3.7%,59.9%,$0.988175,?,https://www.coingecko.com/coins/10716/sparkline
SynchroBitcoin,$0.009082289456,?,?,?,?,?,https://www.coingecko.com/coins/10727/sparkline
IPSE,$0.000311115374,?,?,?,?,?,https://www.coingecko.com/coins/10734/sparkline
Cirquity,$0.000110019828,-0.0%,0.1%,-21.4%,$9.66,?,https://www.coingecko.com/coins/10739/sparkline
Whale Coin,$0.000016275144,?,?,?,?,?,https://www.coingecko.com/coins/10743/sparkline
Bitcoin Vault,$2.54,0.1%,-0.1%,-2.4%,"$30,191.33",?,https://www.coingecko.com/coins/10764/sparkline
HyperDAO,$0.004391094303,-0.0%,3.9%,5.0%,"$4,822.00",?,https://www.coingecko.com/coins/10780/sparkline
SurfExUtilityToken,$0.041318030293,?,?,?,?,?,https://www.coingecko.com/coins/10783/sparkline
MozoX,$0.000005305564,?,?,?,?,?,https://www.coingecko.com/coins/10798/sparkline
Contracoin,$0.050427562243,-0.4%,-0.5%,6.8%,"$62,915.52",?,https://www.coingecko.com/coins/10801/sparkline
Chainpay,$0.069048244224,0.4%,0.2%,-48.3%,$0.266526,?,https://www.coingecko.com/coins/10803/sparkline
King DAG,$0.124956,0.0%,47.5%,47.7%,"$15,932.71",?,https://www.coingecko.com/coins/10809/sparkline
Bloomzed Loyalty Club Ticket,$0.339130,?,?,?,?,?,https://www.coingecko.com/coins/10810/sparkline
King Money,$7.36,?,?,?,?,?,https://www.coingecko.com/coins/10829/sparkline
Largo Coin,$0.129980,?,?,?,?,?,https://www.coingecko.com/coins/10831/sparkline
Foxdcoin,$0.000002110725,?,?,?,?,?,https://www.coingecko.com/coins/10833/sparkline
Aave DAI v1,$0.997473,0.0%,0.6%,-1.1%,$9.42,?,https://www.coingecko.com/coins/10843/sparkline
Cryptobuyer,$0.000060207582,?,?,?,?,?,https://www.coingecko.com/coins/10845/sparkline
Hive Dollar,$0.993339,0.0%,0.8%,1.5%,"$11,929.03",?,https://www.coingecko.com/coins/10855/sparkline
Seed Venture,$0.009665109164,-0.2%,-0.2%,-1.7%,$15.43,?,https://www.coingecko.com/coins/10860/sparkline
Unknown Fair Object,$0.000000089626,?,?,?,?,?,https://www.coingecko.com/coins/10861/sparkline
Improved Bitcoin,$0.000086942849,?,?,?,?,?,https://www.coingecko.com/coins/10873/sparkline
SKINCHAIN,$0.000010004387,?,?,?,?,?,https://www.coingecko.com/coins/10878/sparkline
Historia,$0.007616888267,0.1%,-1.9%,3.6%,$461.36,?,https://www.coingecko.com/coins/10885/sparkline
Bitcurate,$0.002996320059,?,?,?,?,?,https://www.coingecko.com/coins/10895/sparkline
Ixinium,$0.027554602111,?,?,?,?,?,https://www.coingecko.com/coins/10896/sparkline
OWN Token,$0.000019973416,-0.1%,-0.1%,0.0%,$0.796660,?,https://www.coingecko.com/coins/10950/sparkline
CryBet,$0.000003955551,?,?,?,?,?,https://www.coingecko.com/coins/10973/sparkline
Kmushicoin,$1.58,?,?,?,?,?,https://www.coingecko.com/coins/10974/sparkline
Mesefa,$0.003002102678,?,?,?,?,?,https://www.coingecko.com/coins/10977/sparkline
Vybit,$0.000626314200,?,?,?,?,?,https://www.coingecko.com/coins/10978/sparkline
BIZZCOIN,$0.008125856221,?,?,?,?,?,https://www.coingecko.com/coins/10979/sparkline
XCF Token,$0.001817944715,?,?,?,?,?,https://www.coingecko.com/coins/10987/sparkline
Decurian,$108.96,?,?,?,?,?,https://www.coingecko.com/coins/10988/sparkline
ECOSC,$0.002000544316,?,?,?,?,?,https://www.coingecko.com/coins/10989/sparkline
Jack Token,$0.380676,0.3%,0.4%,-0.8%,"$85,278.29",?,https://www.coingecko.com/coins/10991/sparkline
Isiklar Coin,$0.318702,-0.0%,-0.8%,-7.1%,"$173,794",?,https://www.coingecko.com/coins/10992/sparkline
Jubi Token,$0.044707889045,-0.0%,-0.0%,1.6%,$63.67,?,https://www.coingecko.com/coins/10994/sparkline
Mineral,$0.002256731259,0.1%,-0.3%,-6.3%,"$135,705",?,https://www.coingecko.com/coins/10996/sparkline
JUST Stablecoin,$1.04,0.1%,1.4%,1.1%,"$2,691,414",?,https://www.coingecko.com/coins/10998/sparkline
WiBX,$0.006355666760,-1.0%,-0.3%,-6.3%,"$10,080.71",?,https://www.coingecko.com/coins/11009/sparkline
Amaten,$0.010277905600,0.1%,-0.0%,0.1%,$0.513895,?,https://www.coingecko.com/coins/11010/sparkline
Tripedia,$0.000000000000,0.0%,0.0%,0.0%,$0.000000000000,?,https://www.coingecko.com/coins/11014/sparkline
Green Light,$0.000018482135,?,?,?,?,?,https://www.coingecko.com/coins/11015/sparkline
Berry,$0.000627908760,0.0%,-2.5%,-31.8%,"$293,736",?,https://www.coingecko.com/coins/11016/sparkline
WeChain Coin,$0.000000040362,?,?,?,?,?,https://www.coingecko.com/coins/11024/sparkline
IZE,$0.011977122757,0.2%,0.6%,-3.3%,"$5,038.44",?,https://www.coingecko.com/coins/11031/sparkline
UCA Coin,$0.000276331889,-0.9%,234.9%,-1.8%,$981.35,?,https://www.coingecko.com/coins/11032/sparkline
Ecochain,$0.002474345647,?,?,?,?,?,https://www.coingecko.com/coins/11036/sparkline
MDUKEY,$0.000000941768,?,?,?,?,?,https://www.coingecko.com/coins/11042/sparkline
Homeros,$0.003986031384,0.7%,0.7%,-2.7%,"$48,125.64",?,https://www.coingecko.com/coins/11048/sparkline
BASIC,$0.001053074748,-1.0%,-1.2%,-7.3%,"$22,524.55",?,https://www.coingecko.com/coins/11050/sparkline
Bitcoin Volatility Token,$65.00,,4.8%,16.1%,$29.70,?,https://www.coingecko.com/coins/11056/sparkline
Inverse Bitcoin Volatility,"$2,507.13",?,?,?,?,?,https://www.coingecko.com/coins/11057/sparkline
XDAI,$1.00,0.1%,0.3%,-0.4%,"$127,437",?,https://www.coingecko.com/coins/11062/sparkline
ITAM Games,$0.022503558689,-0.7%,-0.7%,14.1%,$22.54,?,https://www.coingecko.com/coins/11063/sparkline
SENSO,$0.118341,-1.2%,-0.9%,1.8%,"$241,858",?,https://www.coingecko.com/coins/11064/sparkline
BlockNoteX,$0.600706,0.0%,-0.1%,-0.1%,"$123,721",?,https://www.coingecko.com/coins/11066/sparkline
Mega Lottery Services Global,$0.000351445001,?,?,?,?,?,https://www.coingecko.com/coins/11072/sparkline
AAX,$0.644032,?,?,?,?,?,https://www.coingecko.com/coins/11073/sparkline
Freight Trust Network,$0.000175144352,?,?,?,?,?,https://www.coingecko.com/coins/11074/sparkline
XTRM,$0.000164248907,?,?,?,?,?,https://www.coingecko.com/coins/11078/sparkline
Certurium,$0.410536,?,?,?,?,?,https://www.coingecko.com/coins/11083/sparkline
AOS,$0.000318156141,-9.1%,11.0%,-17.6%,"$2,236.02",?,https://www.coingecko.com/coins/11091/sparkline
Xeniumx,$0.001000006728,?,?,?,?,?,https://www.coingecko.com/coins/11094/sparkline
Frenzy,$0.000165401903,?,?,?,?,?,https://www.coingecko.com/coins/11096/sparkline
Litecoin SV,$0.390835,?,?,?,?,?,https://www.coingecko.com/coins/11100/sparkline
Anchor Neural World,$0.000660116483,-1.5%,-0.0%,-47.4%,"$10,016.55",?,https://www.coingecko.com/coins/11104/sparkline
TNC Coin,$0.000227694211,0.3%,1.8%,9.9%,"$196,466",?,https://www.coingecko.com/coins/11107/sparkline
FANZY,$0.000070055465,-0.1%,-6.7%,-18.8%,$64.35,?,https://www.coingecko.com/coins/11117/sparkline
